Time[s], Channel 0
-0.100000000000000, 0
0.000000000000000, 1
0.001126370000000, 0
0.001694320000000, 1
0.002760970000000, 0
0.003325420000000, 1
0.003890810000000, 0
0.004958140000000, 1
0.006024750000000, 0
0.006589570000000, 1
0.007655390000000, 0
0.008220350000000, 1
0.009285690000000, 0
0.009851180000000, 1
0.010415720000000, 0
0.011481180000000, 1
0.012048580000000, 0
0.013114830000000, 1
0.014180310000000, 0
0.014744190000000, 1
0.015309790000000, 0
0.016375170000000, 1
0.017440360000000, 0
0.018004300000000, 1
0.019069450000000, 0
0.019634890000000, 1
0.020199030000000, 0
0.021264510000000, 1
0.021830430000000, 0
0.022896990000000, 1
0.023462170000000, 0
0.024527930000000, 1
0.025092240000000, 0
0.026157690000000, 1
0.026723120000000, 0
0.027788300000000, 1
0.028853410000000, 0
0.029417100000000, 1
0.029982200000000, 0
0.031047560000000, 1
0.031629670000000, 0
0.032696250000000, 1
0.033261750000000, 0
0.034327060000000, 1
0.035392380000000, 0
0.035956560000000, 1
0.036521860000000, 0
0.037587110000000, 1
0.038151920000000, 0
0.039217240000000, 1
0.042283360000000, 0
0.049349730000000, 1
0.050415270000000, 0
0.050980660000000, 1
0.052047440000000, 0
0.052612090000000, 1
0.053177370000000, 0
0.054242880000000, 1
0.055307900000000, 0
0.055871920000000, 1
0.056936970000000, 0
0.057502190000000, 1
0.058567330000000, 0
0.059132170000000, 1
0.059696740000000, 0
0.060761830000000, 1
0.061326670000000, 0
0.062398200000000, 1
0.063468610000000, 0
0.064036960000000, 1
0.064606310000000, 0
0.065675830000000, 1
0.066745270000000, 0
0.067313430000000, 1
0.068382900000000, 0
0.068952200000000, 1
0.069520270000000, 0
0.070589650000000, 1
0.071158820000000, 0
0.072230520000000, 1
0.072799870000000, 0
0.073869260000000, 1
0.074437660000000, 0
0.075507010000000, 1
0.076076170000000, 0
0.077145600000000, 1
0.078214920000000, 0
0.078783020000000, 1
0.079352410000000, 0
0.080421700000000, 1
0.080989940000000, 0
0.082066500000000, 1
0.082636060000000, 0
0.083705320000000, 1
0.084774650000000, 0
0.085343680000000, 1
0.085912270000000, 0
0.087015680000000, 1
0.087586430000000, 0
0.088656220000000, 1
0.091732530000000, 0
0.098802320000000, 1
0.099871770000000, 0
0.100441420000000, 1
0.101510980000000, 0
0.102086230000000, 1
